raman_shift_cm-1,intensity_normalized,first_derivative_normalized,valid_mask
466.45523,0.3185655,-0.048675574,1
467.4311,0.30492204,-0.047174487,1
468.40692,0.28810212,-0.044580735,1
469.38278,0.27613363,-0.037419762,1
470.3586,0.2639379,-0.037410755,1
471.33447,0.25197518,-0.028797464,1
472.31033,0.24534129,-0.015828665,1
473.28616,0.24175355,-0.01306844,1
474.26202,0.23690212,-0.014304383,1
475.23785,0.23251632,-0.012301209,1
476.2137,0.22895847,-0.009213145,1
477.18954,0.2265668,0.0006455666,1
478.1654,0.22937548,0.006040616,1
479.14127,0.23046766,0.006287007,1
480.1171,0.23343535,0.01179352,1
481.09296,0.23808351,0.013294205,1
482.0688,0.24202028,0.017821075,1
483.04465,0.24959178,0.01623874,1
484.0205,0.2525068,0.014444084,1
484.99634,0.25891915,0.024269694,1
485.9722,0.26817933,0.02289583,1
486.94803,0.27370456,0.020249747,1
487.9239,0.2812559,0.03231418,1
488.89972,0.2945717,0.037415482,1
489.87558,0.30541727,0.028920637,1
490.85144,0.31324783,0.029661117,1
491.82727,0.32457122,0.034272745,1
492.80313,0.33537984,0.03801662,1
493.77896,0.34912086,0.041816074,1
494.75482,0.36238304,0.038679954,1
495.73065,0.37409896,0.037120093,1
496.7065,0.38635376,0.035468765,1
497.68237,0.3970037,0.03513712,1
498.6582,0.40904397,0.040632352,1
499.63406,0.42324257,0.044272553,1
500.6099,0.4376335,0.03928812,1
501.58575,0.44861323,0.029771185,1
502.5616,0.45685893,0.02115276,1
503.53745,0.462273,0.017703105,1
504.5133,0.46829093,0.015110839,1
505.48914,0.47203112,0.0009180111,1
506.465,0.4688835,-0.011995168,1
507.44083,0.46428517,-0.023126144,1
508.4167,0.4539493,-0.038748454,1
509.39255,0.43926248,-0.051086616,1
510.36838,0.42095965,-0.06358254,1
511.34424,0.39820313,-0.07873062,1
512.32007,0.3701186,-0.0887511,1
513.2959,0.34089193,-0.09298925,1
514.2718,0.31006864,-0.09601773,1
515.2476,0.27888638,-0.09286472,1
516.22345,0.25010106,-0.08085769,1
517.19934,0.22667107,-0.06671895,1
518.1752,0.20701557,-0.058569707,1
519.151,0.18884957,-0.049947727,1
520.12683,0.17476173,-0.03587235,1
521.1027,0.16568454,-0.02967017,1
522.07855,0.15560159,-0.023650225,1
523.0544,0.15041237,-0.020637754,1
524.0303,0.14227414,-0.024191309,1
525.0061,0.13479024,-0.017788965,1
525.98193,0.13078688,-0.016310776,1
526.9578,0.12425705,-0.02121938,1
527.93365,0.117084034,-0.024240207,1
528.9095,0.108603895,-0.024210123,1
529.8853,0.101450294,-0.017887808,1
530.8612,0.09705263,-0.011301762,1
531.83704,0.09415183,-0.007150322,1
532.81287,0.09243529,-0.0075730965,1
533.78876,0.089261256,-0.009205218,1
534.7646,0.08649079,-0.005900667,1
535.7404,0.08545089,-0.0014041846,1
536.71625,0.08558404,0.001406853,1
537.69214,0.08635944,-0.00024300229,1
538.66797,0.08542721,0.00019071564,1
539.6438,0.0864826,0.0068989205,1
540.6197,0.0898825,0.009042493,1
541.5955,0.092322044,0.007412859,1
542.57135,0.09466937,0.008071745,1
543.5472,0.09753439,0.011325507,1
544.5231,0.10198318,0.016297085,1
545.4989,0.10805848,0.022020344,1
546.47473,0.11620286,0.033419564,1
547.4506,0.12964025,0.041812684,1
548.42645,0.14320432,0.042096578,1
549.4023,0.1568242,0.044473886,1
550.3781,0.17192341,0.050319813,1
551.354,0.18931949,0.056506526,1
552.32983,0.20841365,0.059939902,1
553.30566,0.2280258,0.05737833,1
554.28156,0.24546686,0.05574902,1
555.2574,0.26402688,0.06123117,1
556.2332,0.28500703,0.065069035,1
557.20905,0.30604535,0.0756449,1
558.18494,0.33385688,0.09248584,1
559.16077,0.36576986,0.09768496,1
560.1366,0.39693713,0.099308275,1
561.1125,0.42990053,0.11208369,1
562.0883,0.46931723,0.115965605,1
563.06415,0.50478554,0.10788905,1
564.04004,0.53898895,0.0861429,1
565.01587,0.56041497,0.0417877,1
565.9917,0.56597346,-0.0077039255,1
566.9675,0.5554401,-0.07429684,1
567.9434,0.517993,-0.1412449,1
568.91925,0.4642291,-0.17577346,1
569.8951,0.40448692,-0.18465106,1
570.871,0.34498662,-0.17587975,1
571.8468,0.2909083,-0.15112664,1
572.82263,0.24739628,-0.106248416,1
573.79846,0.22229819,-0.066925034,1
574.77435,0.20417841,-0.051167298,1
575.7502,0.18925555,-0.03506047,1
576.726,0.18153805,-0.010572913,1
577.7019,0.1824284,-0.0010580051,1
578.67773,0.18085495,0.0055402447,1
579.65356,0.18600602,0.015674824,1
580.6294,0.190977,0.016344598,1
581.6053,0.19656096,0.023529507,1
582.5811,0.20617145,0.02964137,1
583.55695,0.21570194,0.020386228,1
584.53284,0.21933596,0.023905195,1
585.50867,0.23113872,0.04439012,1
586.4845,0.24800095,0.046439636,1
587.4603,0.2611272,0.034264863,1
588.4362,0.270128,0.026900643,1
589.41205,0.27849892,0.034442756,1
590.3879,0.29236948,0.042079173,1
591.3638,0.30567247,0.035645396,1
592.3396,0.3153885,0.03298832,1
593.3154,0.32697475,0.04263478,1
594.2913,0.34292117,0.039621294,1
595.26715,0.35256144,0.033942454,1
596.243,0.36483955,0.033093255,1
597.2188,0.37393147,0.021225719,1
598.1947,0.3785463,0.023799699,1
599.17053,0.38930023,0.006003101,1
600.14636,0.3824228,-0.032123905,1
