raman_shift_cm-1,wavelength_nm,intensity
5114.134748,284.810000,6.481102
5121.037022,284.866000,10.918784
5127.936582,284.922000,0.005377
5134.833431,284.978000,8.030752
5141.850655,285.035000,4.060076
5148.742037,285.091000,10.560999
5155.630712,285.147000,3.416196
5162.516682,285.203000,5.529896
5169.522840,285.260000,6.020572
5176.403356,285.316000,10.373701
5183.281172,285.372000,2.696960
5190.156289,285.428000,7.979343
5197.028709,285.484000,9.653127
5204.021082,285.541000,9.577758
5210.888064,285.597000,2.577085
5217.752353,285.653000,4.509332
5224.613952,285.709000,8.635796
5231.472862,285.765000,6.465512
5238.329083,285.821000,5.270346
5245.182619,285.877000,7.967989
5252.033470,285.933000,9.629102
5258.881638,285.989000,7.404537
5265.727125,286.045000,6.934039
5272.569932,286.101000,14.098116
5279.532182,286.158000,2.657063
5286.369586,286.214000,13.098540
5293.204315,286.270000,7.320929
5300.036371,286.326000,3.705356
5306.865755,286.382000,1.566525
5313.692468,286.438000,8.914022
5320.516513,286.494000,9.654828
5327.216104,286.549000,5.140763
5334.034863,286.605000,13.400978
5340.850958,286.661000,14.072934
5347.664391,286.717000,11.436081
5354.475163,286.773000,14.600249
5361.283275,286.829000,9.179330
5368.088729,286.885000,13.239225
5374.891528,286.941000,4.186614
5381.691671,286.997000,11.400545
5388.489161,287.053000,8.436978
5395.162686,287.108000,2.854852
5401.954922,287.164000,8.383692
5408.744509,287.220000,11.093754
5415.531448,287.276000,4.962304
5422.315743,287.332000,6.177999
5428.976316,287.387000,3.902792
5435.755371,287.443000,4.527491
5442.531785,287.499000,14.501212
5449.305560,287.555000,6.971458
5456.076697,287.611000,7.000918
5462.724355,287.666000,8.053385
5469.490268,287.722000,9.110314
5476.253548,287.778000,11.082955
5482.893494,287.833000,11.870184
5489.651559,287.889000,5.091986
5496.406995,287.945000,0.767728
5503.039242,288.000000,5.564981
5509.789473,288.056000,9.790305
5516.537079,288.112000,7.380988
5523.161640,288.167000,8.150937
5529.904050,288.223000,10.004566
5536.643840,288.279000,12.327537
5543.260729,288.334000,14.348244
5549.995332,288.390000,12.089222
5556.607128,288.445000,8.682118
5563.336549,288.501000,11.497082
5569.943259,288.556000,12.933169
5576.667504,288.612000,6.824298
5583.269134,288.667000,13.280588
5589.988209,288.723000,10.423414
5596.584764,288.778000,9.671883
5603.298676,288.834000,7.654011
5609.890162,288.889000,7.900680
5616.598916,288.945000,8.245704
5623.185340,289.000000,8.710266
5629.888941,289.056000,10.528885
5636.470308,289.111000,12.345480
5643.168763,289.167000,13.457126
5649.745079,289.222000,10.639565
5656.438394,289.278000,11.329825
5663.009664,289.333000,8.523254
5669.578437,289.388000,9.880110
5676.264076,289.444000,8.927392
5682.827812,289.499000,12.211715
5689.389054,289.554000,5.407868
5696.067030,289.610000,8.906367
5702.623244,289.665000,9.683461
5709.176969,289.720000,12.128515
5715.847296,289.776000,14.084234
5722.396001,289.831000,12.854336
5728.942221,289.886000,11.826835
5735.485958,289.941000,10.413235
5742.146122,289.997000,14.517939
5748.684850,290.052000,11.602667
5755.221100,290.107000,12.906590
5761.754871,290.162000,8.904091
5768.404894,290.218000,6.445100
5774.933669,290.273000,13.763618
5781.459971,290.328000,5.279601
5787.983800,290.383000,10.269654
5794.505158,290.438000,13.330928
5801.142550,290.494000,10.130238
5807.658926,290.549000,11.455153
5814.172835,290.604000,9.799426
5820.684279,290.659000,6.976195
5827.193260,290.714000,17.069177
5833.699778,290.769000,12.483029
5840.203835,290.824000,10.380894
5846.705432,290.879000,13.562543
5853.204572,290.934000,15.525847
5859.701254,290.989000,10.951548
5866.195481,291.044000,12.448582
5872.687254,291.099000,9.248833
5879.176574,291.154000,6.964920
5885.663444,291.209000,13.513890
5892.147863,291.264000,16.161712
5898.629834,291.319000,8.494526
5905.109357,291.374000,7.580444
5911.586435,291.429000,8.196034
5918.061069,291.484000,14.880363
5924.533260,291.539000,8.615258
5931.003009,291.594000,11.820096
5937.470318,291.649000,13.929073
5943.935188,291.704000,6.303584
5950.397621,291.759000,6.658424
5956.857618,291.814000,13.556752
5963.315180,291.869000,10.799188
5969.770309,291.924000,14.852664
5976.105706,291.978000,13.004836
5982.556017,292.033000,11.457358
5989.003898,292.088000,10.915193
5995.449352,292.143000,14.421010
6001.892379,292.198000,7.534237
6008.215901,292.252000,12.121603
6014.654123,292.307000,8.586437
6021.089923,292.362000,5.370721
6027.523303,292.417000,8.888679
6033.954262,292.472000,11.121444
6040.265942,292.526000,14.490180
6046.692111,292.581000,10.689748
6053.115864,292.636000,10.762088
6059.420472,292.690000,12.235289
6065.839442,292.745000,10.933407
6072.256000,292.800000,12.181481
6078.553548,292.854000,14.939423
6084.965331,292.909000,12.948951
6091.374707,292.964000,15.096584
6097.665207,293.018000,16.109015
6104.069816,293.073000,11.703799
