raman_shift_cm-1,wavelength_nm,intensity
2999.891630,268.634000,-0.488500
3008.204142,268.694000,-1.932000
3016.651392,268.755000,-1.260500
3025.094807,268.816000,-0.182000
3033.396069,268.876000,-3.618000
3041.831888,268.937000,-39.926500
3050.263881,268.998000,-10.834000
3058.553914,269.058000,-4.999000
3066.978326,269.119000,-0.927500
3075.398919,269.180000,-0.885000
3083.677747,269.240000,0.041500
3092.090774,269.301000,-2.843500
3100.362165,269.361000,-2.663500
3108.767637,269.422000,-5.923000
3117.031601,269.482000,0.262500
3125.429526,269.543000,3.258000
3133.686074,269.603000,-0.269500
3142.076464,269.664000,-2.692000
3150.325604,269.724000,-0.404500
3158.708468,269.785000,-0.005000
3166.950211,269.845000,-1.977500
3175.325561,269.906000,0.547500
3183.559917,269.966000,-0.579500
3191.790613,270.026000,-1.010000
3200.154739,270.087000,-3.120500
3208.378064,270.147000,-0.889500
3216.597736,270.207000,-0.888000
3224.950662,270.268000,0.217500
3233.162976,270.328000,-0.680000
3241.371647,270.388000,-2.580500
3249.576675,270.448000,-1.384000
3257.914722,270.509000,-3.311000
3266.112412,270.569000,0.461000
3274.306467,270.629000,-1.111500
3282.496889,270.689000,-0.326500
3290.820098,270.750000,-0.528000
3299.003202,270.810000,-0.690000
3307.182681,270.870000,-0.011500
3315.358537,270.930000,7.741500
3323.530773,270.990000,-3.288500
3331.699391,271.050000,0.806000
3339.864393,271.110000,1.611000
3348.025782,271.170000,-1.332500
3356.319492,271.231000,-1.880500
3364.473602,271.291000,-0.905000
3372.624105,271.351000,2.290000
3380.771005,271.411000,2.568000
3388.914304,271.471000,0.172500
3397.054004,271.531000,0.562500
3405.190107,271.591000,2.690500
3413.322616,271.651000,-1.183500
3421.316081,271.710000,1.105000
3429.441469,271.770000,-0.540000
3437.563270,271.830000,-0.590000
3445.681487,271.890000,-0.614000
3453.796121,271.950000,-1.174500
3461.907176,272.010000,-0.836000
3470.014653,272.070000,-8.845500
3478.118555,272.130000,-27.927000
3486.083907,272.189000,-9.652000
3494.180726,272.249000,-41.228000
3502.273976,272.309000,18.865500
3510.363660,272.369000,1.862500
3518.315042,272.428000,0.853500
3526.397661,272.488000,-0.890500
3534.476722,272.548000,-2.012000
3542.552226,272.608000,0.944500
3550.489673,272.667000,2.026500
3558.558131,272.727000,-3.010000
3566.623039,272.787000,1.437500
3574.550074,272.846000,-0.471500
3582.607950,272.906000,-1.640500
3590.528073,272.965000,-0.757500
3598.578926,273.025000,-2.068500
3606.626241,273.085000,-2.706500
3614.535986,273.144000,3.184500
3622.576291,273.204000,-1.902500
3630.479148,273.263000,0.105500
3638.512453,273.323000,-0.939500
3646.408431,273.382000,2.156500
3654.434744,273.442000,0.938500
3662.323852,273.501000,-1.547500
3670.343183,273.561000,0.333500
3678.225429,273.620000,-2.947500
3686.237787,273.680000,-0.822000
3694.113181,273.739000,-3.957500
3701.985180,273.798000,-0.516000
3709.987125,273.858000,1.905000
3717.852286,273.917000,0.519500
3725.714059,273.976000,-0.940500
3733.705610,274.036000,-1.787500
3741.560558,274.095000,-0.309500
3749.412124,274.154000,2.406000
3757.393303,274.214000,1.879000
3765.238057,274.273000,-2.818000
3773.079437,274.332000,3.943500
3780.917444,274.391000,-0.443000
3788.884843,274.451000,6.317500
3796.716056,274.510000,-1.828000
3804.543903,274.569000,-0.693500
3812.368387,274.628000,-1.817000
3820.189510,274.687000,-0.061500
3828.007273,274.746000,-0.798000
3835.821680,274.805000,-8.453000
3843.765093,274.865000,-3.166000
3851.572736,274.924000,-1.653000
3859.377028,274.983000,-0.335000
3867.177971,275.042000,1.846000
3874.975569,275.101000,-1.036000
3882.769823,275.160000,8.182000
3890.560735,275.219000,38.676000
3898.348307,275.278000,-0.836500
3906.132542,275.337000,0.480000
3913.913442,275.396000,0.497000
3921.691008,275.455000,-2.455500
3929.465243,275.514000,-1.477500
3937.236150,275.573000,-1.576500
3944.872103,275.631000,3.073500
3952.636414,275.690000,4.554000
3960.397403,275.749000,-1.654500
3968.155071,275.808000,3.329500
3975.909421,275.867000,-1.755500
3983.660455,275.926000,-0.490000
3991.408175,275.985000,0.059500
3999.021349,276.043000,0.170500
4006.762504,276.102000,-0.856000
4014.500350,276.161000,1.729500
4022.234891,276.220000,-1.216000
4029.835118,276.278000,0.025000
4037.563110,276.337000,0.191500
4045.287803,276.396000,2.322000
4052.878355,276.454000,-2.249500
4060.596512,276.513000,2.613500
4068.311375,276.572000,-3.903500
4075.892271,276.630000,-0.108500
4083.600610,276.689000,-0.469000
4091.305663,276.748000,-2.537000
4098.876921,276.806000,-1.374000
4106.575462,276.865000,-2.138000
4114.140322,276.923000,0.415000
4121.832361,276.982000,-2.200000
4129.390832,277.040000,-1.982000
4137.076375,277.099000,0.805500
4144.628466,277.157000,-2.037000
4152.307522,277.216000,-3.263000
4159.853240,277.274000,4.755500
4167.525818,277.333000,-0.662000
4175.065171,277.391000,-1.184000
4182.731279,277.450000,0.764500
4190.264275,277.508000,-0.979000
4197.794123,277.566000,-0.390500
4205.450568,277.625000,-2.168000
4212.974072,277.683000,-5.670500
4220.494433,277.741000,-0.216000
4228.011654,277.799000,-1.269000
4235.396210,277.856000,-2.315500
4242.907211,277.914000,-0.011000
4250.415077,277.972000,-1.072500
4257.790445,278.029000,-0.714000
4265.292102,278.087000,0.516000
4272.790631,278.145000,1.461500
4280.156828,278.202000,1.596500
4287.649159,278.260000,3.842500
4295.138368,278.318000,1.699000
4302.495411,278.375000,0.254000
4309.978434,278.433000,-0.220500
4317.329402,278.490000,0.163500
4324.806246,278.548000,-0.711500
4332.151147,278.605000,-0.008500
