raman_shift_cm-1,wavelength_nm,intensity
5121.037022,284.866000,34.210000
5127.936582,284.922000,101.980000
5134.833431,284.978000,90.400000
5141.850655,285.035000,63.540000
5148.742037,285.091000,167.530000
5155.630712,285.147000,-39.550000
5162.516682,285.203000,24.980000
5169.522840,285.260000,50.230000
5176.403356,285.316000,44.420000
5183.281172,285.372000,-94.690000
5190.156289,285.428000,14.950000
5197.028709,285.484000,-10.680000
5204.021082,285.541000,89.720000
5210.888064,285.597000,111.690000
5217.752353,285.653000,85.840000
5224.613952,285.709000,62.030000
5231.472862,285.765000,-5.840000
5238.329083,285.821000,73.030000
5245.182619,285.877000,59.300000
5252.033470,285.933000,48.970000
5258.881638,285.989000,54.370000
5265.727125,286.045000,47.300000
5272.569932,286.101000,60.860000
5279.532182,286.158000,71.370000
5286.369586,286.214000,-182.430000
5293.204315,286.270000,-9.890000
5300.036371,286.326000,74.300000
5306.865755,286.382000,69.750000
5313.692468,286.438000,45.290000
5320.516513,286.494000,54.510000
5327.216104,286.549000,65.590000
5334.034863,286.605000,90.510000
5340.850958,286.661000,28.750000
5347.664391,286.717000,72.200000
5354.475163,286.773000,64.750000
5361.283275,286.829000,66.760000
5368.088729,286.885000,20.190000
5374.891528,286.941000,80.580000
5381.691671,286.997000,91.100000
5388.489161,287.053000,89.840000
5395.162686,287.108000,99.100000
5401.954922,287.164000,119.460000
5408.744509,287.220000,28.880000
5415.531448,287.276000,86.990000
5422.315743,287.332000,105.320000
5428.976316,287.387000,76.480000
5435.755371,287.443000,64.850000
5442.531785,287.499000,33.680000
5449.305560,287.555000,64.270000
5456.076697,287.611000,62.560000
5462.724355,287.666000,79.220000
5469.490268,287.722000,168.010000
5476.253548,287.778000,166.840000
5482.893494,287.833000,67.460000
5489.651559,287.889000,108.200000
5496.406995,287.945000,70.170000
5503.039242,288.000000,89.520000
5509.789473,288.056000,62.530000
5516.537079,288.112000,38.260000
5523.161640,288.167000,-35.810000
5529.904050,288.223000,-62.800000
5536.643840,288.279000,2.090000
5543.260729,288.334000,64.230000
5549.995332,288.390000,32.610000
5556.607128,288.445000,44.010000
5563.336549,288.501000,68.090000
5569.943259,288.556000,155.510000
5576.667504,288.612000,106.920000
5583.269134,288.667000,125.650000
5589.988209,288.723000,75.170000
5596.584764,288.778000,37.230000
5603.298676,288.834000,48.140000
5609.890162,288.889000,76.250000
5616.598916,288.945000,72.240000
5623.185340,289.000000,-20.790000
5629.888941,289.056000,7.400000
5636.470308,289.111000,12.070000
5643.168763,289.167000,42.820000
5649.745079,289.222000,202.650000
5656.438394,289.278000,127.310000
5663.009664,289.333000,-20.970000
5669.578437,289.388000,6.680000
5676.264076,289.444000,-140.590000
5682.827812,289.499000,5.400000
5689.389054,289.554000,29.790000
5696.067030,289.610000,25.720000
5702.623244,289.665000,-73.060000
5709.176969,289.720000,26.130000
5715.847296,289.776000,34.810000
5722.396001,289.831000,18.480000
5728.942221,289.886000,68.410000
5735.485958,289.941000,107.420000
5742.146122,289.997000,244.120000
5748.684850,290.052000,184.930000
5755.221100,290.107000,76.680000
5761.754871,290.162000,64.800000
5768.404894,290.218000,51.260000
5774.933669,290.273000,91.290000
5781.459971,290.328000,114.100000
5787.983800,290.383000,85.770000
5794.505158,290.438000,77.370000
5801.142550,290.494000,74.480000
5807.658926,290.549000,79.870000
