raman_shift_cm-1,wavelength_nm,intensity
2721.792393,266.642000,14.137860
2730.370143,266.703000,0.862940
2738.803447,266.763000,19.933450
2747.232958,266.823000,-37.334330
2755.658679,266.883000,-6.488160
2764.220946,266.944000,-12.738910
2772.639032,267.004000,-9.483660
2781.053334,267.064000,38.010560
2789.463857,267.124000,-101.913550
2797.870602,267.184000,82.547830
2806.273573,267.244000,35.244860
2814.672771,267.304000,64.518240
2823.068200,267.364000,7.653800
2831.459861,267.424000,36.540040
2839.847757,267.484000,36.788310
2848.231891,267.544000,30.766570
2856.612266,267.604000,41.518790
2864.988884,267.664000,14.276900
2873.361747,267.724000,26.230500
2881.730857,267.784000,42.715850
2890.096219,267.844000,19.654470
2898.457833,267.904000,10.121470
2906.815703,267.964000,35.526470
2915.169831,268.024000,31.558220
2923.520219,268.084000,41.857340
2931.866870,268.144000,13.940030
2940.209787,268.204000,-6.673270
2948.410016,268.263000,-34.313240
2956.745534,268.323000,-17.653830
2965.077324,268.383000,2.865640
2973.405390,268.443000,-33.718350
2981.729735,268.503000,-7.477160
2989.911713,268.562000,-22.636960
2998.228682,268.622000,5.703920
3006.541937,268.682000,-2.623760
3014.851480,268.742000,-75.599140
3023.018913,268.801000,-37.540500
3031.321101,268.861000,-47.841820
3039.619584,268.921000,-64.109770
3047.776149,268.980000,-83.000260
3056.067292,269.040000,-57.779570
3064.216644,269.099000,-19.138530
3072.500457,269.159000,23.844820
3080.780577,269.219000,17.347600
3088.919097,269.278000,57.194670
3097.191901,269.338000,-2.235550
3105.323232,269.397000,-23.680560
3113.588730,269.457000,53.898180
3121.712881,269.516000,33.310890
3129.971082,269.576000,28.921570
3138.088063,269.635000,42.488830
3146.338978,269.695000,27.055960
3154.448798,269.754000,11.556600
3162.692435,269.814000,33.240170
3170.795104,269.873000,16.219570
3178.894231,269.932000,18.402560
3187.127001,269.992000,9.367500
3195.218991,270.051000,-30.953950
3203.307445,270.110000,-0.914070
3211.529370,270.170000,14.889240
3219.610701,270.229000,-24.351210
3227.688505,270.288000,26.061990
3235.899605,270.348000,62.685530
3243.970299,270.407000,45.566830
3252.037473,270.466000,29.167730
3260.101128,270.525000,19.704350
3268.297848,270.585000,18.476100
3276.354413,270.644000,-11.746570
3284.407466,270.703000,34.172060
3292.457009,270.762000,114.540300
3300.503044,270.821000,44.483190
3308.545575,270.880000,-32.632770
3316.720828,270.940000,4.057450
3324.756296,270.999000,-3.465060
