dataset,model,threshold,n_total,accepted_n,rejected_n,coverage,accuracy_on_accepted,macro_f1_on_accepted_present_labels,operational_recall_correct_accepted_over_all,false_discovery_rate_wrong_among_accepted,false_positive_rate_wrong_accepted_over_all,macro_one_vs_rest_fpr
sherloc_pooled_random_validation,mst,0.95,438,12,426,0.0273972602739726,1.0,1.0,0.0273972602739726,0.0,0.0,0.0
sherloc_pooled_random_validation,pca_svm,0.0,438,438,0,1.0,0.7602739726027398,0.4672954768916678,0.7602739726027398,0.23972602739726026,0.23972602739726026,0.051319854879722675
sherloc_pooled_random_validation,pca_svm,0.05,438,438,0,1.0,0.7602739726027398,0.4672954768916678,0.7602739726027398,0.23972602739726026,0.23972602739726026,0.051319854879722675
sherloc_pooled_random_validation,pca_svm,0.1,438,438,0,1.0,0.7602739726027398,0.4672954768916678,0.7602739726027398,0.23972602739726026,0.23972602739726026,0.051319854879722675
sherloc_pooled_random_validation,pca_svm,0.15,438,438,0,1.0,0.7602739726027398,0.4672954768916678,0.7602739726027398,0.23972602739726026,0.23972602739726026,0.051319854879722675
sherloc_pooled_random_validation,pca_svm,0.2,438,438,0,1.0,0.7602739726027398,0.4672954768916678,0.7602739726027398,0.23972602739726026,0.23972602739726026,0.051319854879722675
sherloc_pooled_random_validation,pca_svm,0.25,438,438,0,1.0,0.7602739726027398,0.4672954768916678,0.7602739726027398,0.23972602739726026,0.23972602739726026,0.051319854879722675
sherloc_pooled_random_validation,pca_svm,0.3,438,435,3,0.9931506849315068,0.7632183908045977,0.46885102834703807,0.7579908675799086,0.2367816091954023,0.23515981735159816,0.050165298229476366
sherloc_pooled_random_validation,pca_svm,0.35,438,429,9,0.9794520547945206,0.7668997668997669,0.4714354736172918,0.7511415525114156,0.2331002331002331,0.228310502283105,0.04901617778772952
sherloc_pooled_random_validation,pca_svm,0.4,438,413,25,0.9429223744292238,0.7796610169491526,0.4781420982816737,0.7351598173515982,0.22033898305084745,0.20776255707762556,0.04468844569745824
sherloc_pooled_random_validation,pca_svm,0.45,438,386,52,0.8812785388127854,0.8005181347150259,0.49120490607631295,0.7054794520547946,0.19948186528497408,0.17579908675799086,0.038008556229559363
sherloc_pooled_random_validation,pca_svm,0.5,438,354,84,0.8082191780821918,0.807909604519774,0.49178698333695914,0.6529680365296804,0.192090395480226,0.1552511415525114,0.03334728555143916
sherloc_pooled_random_validation,pca_svm,0.55,438,316,122,0.7214611872146118,0.8227848101265823,0.465090888106642,0.593607305936073,0.17721518987341772,0.1278538812785388,0.028121564955420755
sherloc_pooled_random_validation,pca_svm,0.6,438,288,150,0.6575342465753424,0.8506944444444444,0.47530740043804176,0.5593607305936074,0.14930555555555555,0.09817351598173515,0.02221964947278427
sherloc_pooled_random_validation,pca_svm,0.65,438,266,172,0.6073059360730594,0.8759398496240601,0.4982345566588493,0.5319634703196348,0.12406015037593984,0.07534246575342465,0.018131522343904787
sherloc_pooled_random_validation,pca_svm,0.7,438,246,192,0.5616438356164384,0.8983739837398373,0.52,0.5045662100456622,0.1016260162601626,0.05707762557077625,0.014197336101724816
sherloc_pooled_random_validation,pca_svm,0.75,438,217,221,0.4954337899543379,0.9216589861751152,0.5531702898550724,0.45662100456621,0.07834101382488479,0.03881278538812785,0.009596072683846978
sherloc_pooled_random_validation,pca_svm,0.8,438,203,235,0.4634703196347032,0.9310344827586207,0.4658809523809524,0.4315068493150685,0.06896551724137931,0.0319634703196347,0.008364545590250919
