spectrum_id,variant,spikes_replaced
SHERLOC_REGION_0222,despike_sg11_asls,0
SHERLOC_REGION_0223,despike_sg11_asls,1
SHERLOC_REGION_0224,despike_sg11_asls,0
SHERLOC_REGION_0226,despike_sg11_asls,0
SHERLOC_REGION_0227,despike_sg11_asls,0
SHERLOC_REGION_0228,despike_sg11_asls,0
SHERLOC_REGION_0230,despike_sg11_asls,1
SHERLOC_REGION_0231,despike_sg11_asls,0
SHERLOC_REGION_0235,despike_sg11_asls,0
SHERLOC_REGION_0237,despike_sg11_asls,0
SHERLOC_REGION_0238,despike_sg11_asls,0
SHERLOC_REGION_0241,despike_sg11_asls,0
SHERLOC_REGION_0243,despike_sg11_asls,1
SHERLOC_REGION_0245,despike_sg11_asls,0
SHERLOC_REGION_0246,despike_sg11_asls,0
SHERLOC_REGION_0248,despike_sg11_asls,0
SHERLOC_REGION_0249,despike_sg11_asls,0
SHERLOC_REGION_0251,despike_sg11_asls,0
SHERLOC_REGION_0252,despike_sg11_asls,0
SHERLOC_REGION_0253,despike_sg11_asls,1
SHERLOC_REGION_0254,despike_sg11_asls,2
SHERLOC_REGION_0255,despike_sg11_asls,1
SHERLOC_REGION_0256,despike_sg11_asls,0
SHERLOC_REGION_0257,despike_sg11_asls,3
SHERLOC_REGION_0258,despike_sg11_asls,0
SHERLOC_REGION_0259,despike_sg11_asls,0
SHERLOC_REGION_0263,despike_sg11_asls,1
SHERLOC_REGION_0264,despike_sg11_asls,0
SHERLOC_REGION_0266,despike_sg11_asls,0
SHERLOC_REGION_0267,despike_sg11_asls,0
SHERLOC_REGION_0268,despike_sg11_asls,0
SHERLOC_REGION_0269,despike_sg11_asls,1
SHERLOC_REGION_0270,despike_sg11_asls,0
SHERLOC_REGION_0271,despike_sg11_asls,0
SHERLOC_REGION_0273,despike_sg11_asls,0
SHERLOC_REGION_0274,despike_sg11_asls,0
SHERLOC_REGION_0277,despike_sg11_asls,0
SHERLOC_REGION_0278,despike_sg11_asls,0
SHERLOC_REGION_0279,despike_sg11_asls,0
SHERLOC_REGION_0280,despike_sg11_asls,0
SHERLOC_REGION_0281,despike_sg11_asls,0
SHERLOC_REGION_0283,despike_sg11_asls,0
SHERLOC_REGION_0304,despike_sg11_asls,2
SHERLOC_REGION_0306,despike_sg11_asls,1
SHERLOC_REGION_0307,despike_sg11_asls,0
SHERLOC_REGION_0309,despike_sg11_asls,1
SHERLOC_REGION_0310,despike_sg11_asls,0
SHERLOC_REGION_0315,despike_sg11_asls,0
SHERLOC_REGION_0316,despike_sg11_asls,0
SHERLOC_REGION_0317,despike_sg11_asls,2
SHERLOC_REGION_0318,despike_sg11_asls,0
SHERLOC_REGION_0319,despike_sg11_asls,1
SHERLOC_REGION_0320,despike_sg11_asls,2
SHERLOC_REGION_0321,despike_sg11_asls,3
SHERLOC_REGION_0398,despike_sg11_asls,1
SHERLOC_REGION_0431,despike_sg11_asls,2
SHERLOC_REGION_0540,despike_sg11_asls,1
SHERLOC_REGION_0554,despike_sg11_asls,1
SHERLOC_REGION_0076,despike_sg11_asls,1
SHERLOC_REGION_0079,despike_sg11_asls,1
SHERLOC_REGION_0080,despike_sg11_asls,0
SHERLOC_REGION_0085,despike_sg11_asls,1
SHERLOC_REGION_0087,despike_sg11_asls,0
SHERLOC_REGION_0089,despike_sg11_asls,0
SHERLOC_REGION_0093,despike_sg11_asls,1
SHERLOC_REGION_0094,despike_sg11_asls,1
SHERLOC_REGION_0095,despike_sg11_asls,2
SHERLOC_REGION_0096,despike_sg11_asls,1
SHERLOC_REGION_0099,despike_sg11_asls,1
SHERLOC_REGION_0102,despike_sg11_asls,0
SHERLOC_REGION_0103,despike_sg11_asls,0
SHERLOC_REGION_0104,despike_sg11_asls,0
SHERLOC_REGION_0105,despike_sg11_asls,0
SHERLOC_REGION_0106,despike_sg11_asls,1
SHERLOC_REGION_0132,despike_sg11_asls,0
SHERLOC_REGION_0149,despike_sg11_asls,0
SHERLOC_REGION_0155,despike_sg11_asls,1
SHERLOC_REGION_0165,despike_sg11_asls,0
SHERLOC_REGION_0167,despike_sg11_asls,1
SHERLOC_REGION_0176,despike_sg11_asls,1
SHERLOC_REGION_0177,despike_sg11_asls,0
SHERLOC_REGION_0286,despike_sg11_asls,1
SHERLOC_REGION_0287,despike_sg11_asls,0
SHERLOC_REGION_0288,despike_sg11_asls,2
SHERLOC_REGION_0289,despike_sg11_asls,0
SHERLOC_REGION_0291,despike_sg11_asls,0
SHERLOC_REGION_0293,despike_sg11_asls,2
SHERLOC_REGION_0296,despike_sg11_asls,1
SHERLOC_REGION_0297,despike_sg11_asls,0
SHERLOC_REGION_0301,despike_sg11_asls,2
SHERLOC_REGION_0302,despike_sg11_asls,2
SHERLOC_REGION_0308,despike_sg11_asls,1
SHERLOC_REGION_0327,despike_sg11_asls,0
SHERLOC_REGION_0368,despike_sg11_asls,0
SHERLOC_REGION_0369,despike_sg11_asls,2
SHERLOC_REGION_0419,despike_sg11_asls,3
SHERLOC_REGION_0333,despike_sg11_asls,0
SHERLOC_REGION_0347,despike_sg11_asls,0
SHERLOC_REGION_0348,despike_sg11_asls,0
SHERLOC_REGION_0275,despike_sg11_asls,0
SHERLOC_REGION_0276,despike_sg11_asls,0
SHERLOC_REGION_0006,despike_sg11_asls,0
SHERLOC_REGION_0007,despike_sg11_asls,0
SHERLOC_REGION_0008,despike_sg11_asls,0
SHERLOC_REGION_0010,despike_sg11_asls,2
SHERLOC_REGION_0011,despike_sg11_asls,0
SHERLOC_REGION_0013,despike_sg11_asls,0
SHERLOC_REGION_0014,despike_sg11_asls,0
SHERLOC_REGION_0015,despike_sg11_asls,0
SHERLOC_REGION_0016,despike_sg11_asls,0
SHERLOC_REGION_0018,despike_sg11_asls,0
SHERLOC_REGION_0019,despike_sg11_asls,0
SHERLOC_REGION_0021,despike_sg11_asls,0
SHERLOC_REGION_0023,despike_sg11_asls,0
SHERLOC_REGION_0026,despike_sg11_asls,0
SHERLOC_REGION_0027,despike_sg11_asls,0
SHERLOC_REGION_0028,despike_sg11_asls,1
SHERLOC_REGION_0029,despike_sg11_asls,0
SHERLOC_REGION_0030,despike_sg11_asls,0
SHERLOC_REGION_0031,despike_sg11_asls,0
SHERLOC_REGION_0032,despike_sg11_asls,0
SHERLOC_REGION_0033,despike_sg11_asls,0
SHERLOC_REGION_0036,despike_sg11_asls,0
SHERLOC_REGION_0037,despike_sg11_asls,0
SHERLOC_REGION_0038,despike_sg11_asls,0
SHERLOC_REGION_0039,despike_sg11_asls,0
SHERLOC_REGION_0040,despike_sg11_asls,0
SHERLOC_REGION_0041,despike_sg11_asls,0
SHERLOC_REGION_0043,despike_sg11_asls,0
SHERLOC_REGION_0044,despike_sg11_asls,0
SHERLOC_REGION_0047,despike_sg11_asls,0
SHERLOC_REGION_0048,despike_sg11_asls,0
SHERLOC_REGION_0049,despike_sg11_asls,0
SHERLOC_REGION_0050,despike_sg11_asls,0
SHERLOC_REGION_0056,despike_sg11_asls,0
SHERLOC_REGION_0057,despike_sg11_asls,0
SHERLOC_REGION_0058,despike_sg11_asls,0
SHERLOC_REGION_0060,despike_sg11_asls,0
SHERLOC_REGION_0063,despike_sg11_asls,0
SHERLOC_REGION_0064,despike_sg11_asls,0
SHERLOC_REGION_0065,despike_sg11_asls,0
SHERLOC_REGION_0067,despike_sg11_asls,0
SHERLOC_REGION_0071,despike_sg11_asls,0
SHERLOC_REGION_0113,despike_sg11_asls,0
SHERLOC_REGION_0323,despike_sg11_asls,0
SHERLOC_REGION_0324,despike_sg11_asls,0
SHERLOC_REGION_0328,despike_sg11_asls,0
SHERLOC_REGION_0329,despike_sg11_asls,1
SHERLOC_REGION_0331,despike_sg11_asls,0
SHERLOC_REGION_0332,despike_sg11_asls,0
SHERLOC_REGION_0334,despike_sg11_asls,1
SHERLOC_REGION_0336,despike_sg11_asls,0
SHERLOC_REGION_0339,despike_sg11_asls,0
SHERLOC_REGION_0342,despike_sg11_asls,0
SHERLOC_REGION_0351,despike_sg11_asls,0
SHERLOC_REGION_0354,despike_sg11_asls,0
SHERLOC_REGION_0358,despike_sg11_asls,0
SHERLOC_REGION_0359,despike_sg11_asls,0
SHERLOC_REGION_0361,despike_sg11_asls,0
SHERLOC_REGION_0364,despike_sg11_asls,0
SHERLOC_REGION_0365,despike_sg11_asls,0
SHERLOC_REGION_0366,despike_sg11_asls,0
SHERLOC_REGION_0367,despike_sg11_asls,0
SHERLOC_REGION_0371,despike_sg11_asls,0
SHERLOC_REGION_0372,despike_sg11_asls,0
SHERLOC_REGION_0373,despike_sg11_asls,0
SHERLOC_REGION_0374,despike_sg11_asls,0
SHERLOC_REGION_0375,despike_sg11_asls,0
SHERLOC_REGION_0378,despike_sg11_asls,0
SHERLOC_REGION_0380,despike_sg11_asls,0
SHERLOC_REGION_0386,despike_sg11_asls,0
SHERLOC_REGION_0387,despike_sg11_asls,0
SHERLOC_REGION_0390,despike_sg11_asls,0
SHERLOC_REGION_0392,despike_sg11_asls,0
SHERLOC_REGION_0401,despike_sg11_asls,3
SHERLOC_REGION_0404,despike_sg11_asls,0
SHERLOC_REGION_0408,despike_sg11_asls,1
SHERLOC_REGION_0412,despike_sg11_asls,1
SHERLOC_REGION_0420,despike_sg11_asls,0
SHERLOC_REGION_0421,despike_sg11_asls,0
SHERLOC_REGION_0422,despike_sg11_asls,0
SHERLOC_REGION_0423,despike_sg11_asls,0
SHERLOC_REGION_0424,despike_sg11_asls,0
SHERLOC_REGION_0425,despike_sg11_asls,0
SHERLOC_REGION_0427,despike_sg11_asls,0
SHERLOC_REGION_0428,despike_sg11_asls,1
SHERLOC_REGION_0429,despike_sg11_asls,0
SHERLOC_REGION_0430,despike_sg11_asls,2
SHERLOC_REGION_0432,despike_sg11_asls,0
SHERLOC_REGION_0433,despike_sg11_asls,0
SHERLOC_REGION_0434,despike_sg11_asls,1
SHERLOC_REGION_0436,despike_sg11_asls,0
SHERLOC_REGION_0437,despike_sg11_asls,0
SHERLOC_REGION_0438,despike_sg11_asls,0
SHERLOC_REGION_0439,despike_sg11_asls,0
SHERLOC_REGION_0440,despike_sg11_asls,0
SHERLOC_REGION_0441,despike_sg11_asls,0
SHERLOC_REGION_0442,despike_sg11_asls,0
SHERLOC_REGION_0443,despike_sg11_asls,0
SHERLOC_REGION_0444,despike_sg11_asls,0
SHERLOC_REGION_0445,despike_sg11_asls,0
SHERLOC_REGION_0446,despike_sg11_asls,0
SHERLOC_REGION_0447,despike_sg11_asls,0
SHERLOC_REGION_0448,despike_sg11_asls,0
SHERLOC_REGION_0449,despike_sg11_asls,0
SHERLOC_REGION_0451,despike_sg11_asls,0
SHERLOC_REGION_0452,despike_sg11_asls,0
SHERLOC_REGION_0453,despike_sg11_asls,0
SHERLOC_REGION_0455,despike_sg11_asls,0
SHERLOC_REGION_0456,despike_sg11_asls,1
SHERLOC_REGION_0457,despike_sg11_asls,0
SHERLOC_REGION_0458,despike_sg11_asls,0
SHERLOC_REGION_0459,despike_sg11_asls,0
SHERLOC_REGION_0460,despike_sg11_asls,0
SHERLOC_REGION_0461,despike_sg11_asls,0
SHERLOC_REGION_0462,despike_sg11_asls,0
SHERLOC_REGION_0463,despike_sg11_asls,0
SHERLOC_REGION_0465,despike_sg11_asls,0
SHERLOC_REGION_0467,despike_sg11_asls,0
SHERLOC_REGION_0468,despike_sg11_asls,0
SHERLOC_REGION_0469,despike_sg11_asls,0
SHERLOC_REGION_0470,despike_sg11_asls,0
SHERLOC_REGION_0471,despike_sg11_asls,0
SHERLOC_REGION_0473,despike_sg11_asls,0
SHERLOC_REGION_0474,despike_sg11_asls,0
SHERLOC_REGION_0475,despike_sg11_asls,0
SHERLOC_REGION_0477,despike_sg11_asls,2
SHERLOC_REGION_0478,despike_sg11_asls,0
SHERLOC_REGION_0479,despike_sg11_asls,0
SHERLOC_REGION_0480,despike_sg11_asls,1
SHERLOC_REGION_0481,despike_sg11_asls,0
SHERLOC_REGION_0482,despike_sg11_asls,0
SHERLOC_REGION_0483,despike_sg11_asls,0
SHERLOC_REGION_0484,despike_sg11_asls,0
SHERLOC_REGION_0485,despike_sg11_asls,2
SHERLOC_REGION_0486,despike_sg11_asls,0
SHERLOC_REGION_0487,despike_sg11_asls,0
SHERLOC_REGION_0488,despike_sg11_asls,0
SHERLOC_REGION_0489,despike_sg11_asls,0
SHERLOC_REGION_0490,despike_sg11_asls,1
SHERLOC_REGION_0491,despike_sg11_asls,0
SHERLOC_REGION_0492,despike_sg11_asls,0
SHERLOC_REGION_0493,despike_sg11_asls,0
SHERLOC_REGION_0494,despike_sg11_asls,0
SHERLOC_REGION_0495,despike_sg11_asls,0
SHERLOC_REGION_0496,despike_sg11_asls,0
SHERLOC_REGION_0497,despike_sg11_asls,0
SHERLOC_REGION_0498,despike_sg11_asls,0
SHERLOC_REGION_0499,despike_sg11_asls,0
SHERLOC_REGION_0500,despike_sg11_asls,0
SHERLOC_REGION_0501,despike_sg11_asls,0
SHERLOC_REGION_0502,despike_sg11_asls,0
SHERLOC_REGION_0503,despike_sg11_asls,0
SHERLOC_REGION_0504,despike_sg11_asls,0
SHERLOC_REGION_0505,despike_sg11_asls,0
SHERLOC_REGION_0506,despike_sg11_asls,0
SHERLOC_REGION_0507,despike_sg11_asls,0
SHERLOC_REGION_0508,despike_sg11_asls,0
SHERLOC_REGION_0509,despike_sg11_asls,0
SHERLOC_REGION_0510,despike_sg11_asls,0
SHERLOC_REGION_0511,despike_sg11_asls,0
SHERLOC_REGION_0512,despike_sg11_asls,0
SHERLOC_REGION_0513,despike_sg11_asls,0
SHERLOC_REGION_0514,despike_sg11_asls,0
SHERLOC_REGION_0515,despike_sg11_asls,0
SHERLOC_REGION_0516,despike_sg11_asls,0
SHERLOC_REGION_0518,despike_sg11_asls,1
SHERLOC_REGION_0519,despike_sg11_asls,0
SHERLOC_REGION_0520,despike_sg11_asls,0
SHERLOC_REGION_0522,despike_sg11_asls,0
SHERLOC_REGION_0523,despike_sg11_asls,0
SHERLOC_REGION_0525,despike_sg11_asls,0
SHERLOC_REGION_0526,despike_sg11_asls,0
SHERLOC_REGION_0527,despike_sg11_asls,0
SHERLOC_REGION_0528,despike_sg11_asls,0
SHERLOC_REGION_0529,despike_sg11_asls,0
SHERLOC_REGION_0530,despike_sg11_asls,0
SHERLOC_REGION_0531,despike_sg11_asls,0
SHERLOC_REGION_0532,despike_sg11_asls,0
SHERLOC_REGION_0533,despike_sg11_asls,0
SHERLOC_REGION_0534,despike_sg11_asls,0
SHERLOC_REGION_0535,despike_sg11_asls,0
SHERLOC_REGION_0536,despike_sg11_asls,0
SHERLOC_REGION_0537,despike_sg11_asls,0
SHERLOC_REGION_0538,despike_sg11_asls,2
SHERLOC_REGION_0542,despike_sg11_asls,0
SHERLOC_REGION_0543,despike_sg11_asls,0
SHERLOC_REGION_0544,despike_sg11_asls,0
SHERLOC_REGION_0545,despike_sg11_asls,0
SHERLOC_REGION_0546,despike_sg11_asls,0
SHERLOC_REGION_0547,despike_sg11_asls,0
SHERLOC_REGION_0548,despike_sg11_asls,0
SHERLOC_REGION_0549,despike_sg11_asls,0
SHERLOC_REGION_0550,despike_sg11_asls,0
SHERLOC_REGION_0551,despike_sg11_asls,0
SHERLOC_REGION_0552,despike_sg11_asls,0
SHERLOC_REGION_0553,despike_sg11_asls,0
SHERLOC_REGION_0556,despike_sg11_asls,0
SHERLOC_REGION_0557,despike_sg11_asls,0
SHERLOC_REGION_0558,despike_sg11_asls,0
SHERLOC_REGION_0559,despike_sg11_asls,0
SHERLOC_REGION_0560,despike_sg11_asls,0
SHERLOC_REGION_0561,despike_sg11_asls,0
SHERLOC_REGION_0562,despike_sg11_asls,0
SHERLOC_REGION_0563,despike_sg11_asls,0
SHERLOC_REGION_0564,despike_sg11_asls,0
SHERLOC_REGION_0565,despike_sg11_asls,0
SHERLOC_REGION_0566,despike_sg11_asls,0
SHERLOC_REGION_0568,despike_sg11_asls,0
SHERLOC_REGION_0572,despike_sg11_asls,0
SHERLOC_REGION_0573,despike_sg11_asls,0
SHERLOC_REGION_0574,despike_sg11_asls,0
SHERLOC_REGION_0575,despike_sg11_asls,0
SHERLOC_REGION_0576,despike_sg11_asls,0
SHERLOC_REGION_0577,despike_sg11_asls,0
SHERLOC_REGION_0578,despike_sg11_asls,0
SHERLOC_REGION_0579,despike_sg11_asls,0
SHERLOC_REGION_0580,despike_sg11_asls,0
