region,target,standard_workbook,sheet_name,scan_name,ss_raman_file,ss_sol,ss_sclk,ss_srlc_sequence,ss_subscan,mapping_basis,reference
garde,Garde,D:\dyt\raman\metadata\mars\mars\区域\garde\标准数据G.xlsx,detail_500_3.2,0208_Garde Detail_500_3,D:\dyt\raman\metadata\mars\mars\区域\garde\ss__0208_0685435929_750rrs__0071836srlc11372w208cgnj03_R1_AllPoints_Raman.csv,208,0685435929.750,11372,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
guillaumes,Guillaumes,D:\dyt\raman\metadata\mars\mars\区域\guillaumes\标准数据GU.xlsx,detail_500.1,0162_Guillaumes HDR_250_1,D:\dyt\raman\metadata\mars\mars\区域\guillaumes\ss__0162_0681350015_835rrs__0060000srlc10500w108cgnj06_R1_AllPoints_Raman.csv,162,0681350015.835,10500,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
quartier,Quartier,D:\dyt\raman\metadata\mars\mars\区域\quartier\标准数据Q.xlsx,Q293.1,0293_Quartier HDR_500_1,D:\dyt\raman\metadata\mars\mars\区域\quartier\ss__0293_0692979640_115rrs__0090000srlc11360w108cgzj03_R1_AllPoints_Raman.csv,293,0692979640.115,11360,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
quartier,Quartier,D:\dyt\raman\metadata\mars\mars\区域\quartier\标准数据Q.xlsx,Q293.2,0293_Quartier HDR_500_1,D:\dyt\raman\metadata\mars\mars\区域\quartier\ss__0293_0692980289_265rrs__0090000srlc11360w208cgnj03_R1_AllPoints_Raman.csv,293,0692980289.265,11360,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
quartier,Quartier,D:\dyt\raman\metadata\mars\mars\区域\quartier\标准数据Q.xlsx,detail_500_1.1,0304_Quartier Detail_500_1,D:\dyt\raman\metadata\mars\mars\区域\quartier\ss__0304_0693961008_675rrs__0090000srlc11372w108cgnj02_R1_AllPoints_Raman.csv,304,0693961008.675,11372,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
quartier,Quartier,D:\dyt\raman\metadata\mars\mars\区域\quartier\标准数据Q.xlsx,detail_500_1.2,0304_Quartier Detail_500_1,D:\dyt\raman\metadata\mars\mars\区域\quartier\ss__0304_0693961658_010rrs__0090000srlc11372w208cgnj02_R1_AllPoints_Raman.csv,304,0693961658.010,11372,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
quartier,Quartier,D:\dyt\raman\metadata\mars\mars\区域\quartier\标准数据Q.xlsx,detail_500_2.1,0304_Quartier Detail_500_2,D:\dyt\raman\metadata\mars\mars\区域\quartier\ss__0304_0693962475_780rrs__0090000srlc11373w108cgnj02_R1_AllPoints_Raman.csv,304,0693962475.780,11373,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
quartier,Quartier,D:\dyt\raman\metadata\mars\mars\区域\quartier\标准数据Q.xlsx,detail_500_2.2,0304_Quartier Detail_500_2,D:\dyt\raman\metadata\mars\mars\区域\quartier\ss__0304_0693963125_235rrs__0090000srlc11373w208cgnj02_R1_AllPoints_Raman.csv,304,0693963125.235,11373,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
quartier,Quartier,D:\dyt\raman\metadata\mars\mars\区域\quartier\标准数据Q.xlsx,detail_500_3.1,0304_Quartier Detail_500_3,D:\dyt\raman\metadata\mars\mars\区域\quartier\ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_R1_AllPoints_Raman.csv,304,0693963943.980,11374,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
quartier,Quartier,D:\dyt\raman\metadata\mars\mars\区域\quartier\标准数据Q.xlsx,detail_500_3.2,0304_Quartier Detail_500_3,D:\dyt\raman\metadata\mars\mars\区域\quartier\ss__0304_0693964592_870rrs__0090000srlc11374w208cgnj02_R1_AllPoints_Raman.csv,304,0693964592.870,11374,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
quartier,Quartier,D:\dyt\raman\metadata\mars\mars\区域\quartier\标准数据Q.xlsx,detail_500_4.1,0304_Quartier Detail_500_4,D:\dyt\raman\metadata\mars\mars\区域\quartier\ss__0304_0693965408_820rrs__0090000srlc11375w108cgnj02_R1_AllPoints_Raman.csv,304,0693965408.820,11375,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
quartier,Quartier,D:\dyt\raman\metadata\mars\mars\区域\quartier\标准数据Q.xlsx,detail_500_4.2,0304_Quartier Detail_500_4,D:\dyt\raman\metadata\mars\mars\区域\quartier\ss__0304_0693966058_170rrs__0090000srlc11375w208cgnj02_R1_AllPoints_Raman.csv,304,0693966058.170,11375,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
