wavenumber_cm-1,intensity
578.621,0.00016592941541506152
579.938,7.73499665483876e-05
581.254,0.0
582.57,0.0001664004900007356
583.886,0.0007565221226164863
585.202,0.0006828479851364063
586.518,0.0
587.833,0.000760123512744334
589.148,0.0027767497023197907
590.463,0.0013306602776208486
591.778,0.0033940292524060204
593.093,0.002436902865030584
594.407,0.0031235093623789996
595.721,0.0017469951830296785
597.035,0.0011549847871218171
598.349,0.00039022623111566277
599.662,0.0028403908957553457
600.976,0.0
602.289,0.0027685070992406594
603.602,0.0005157825124814151
604.914,0.0024619420690136402
606.227,0.001434788755273846
607.539,0.0014781071113693473
608.851,0.001726359028379109
610.163,0.0010661137438476504
611.475,0.0013365597383103948
612.786,0.0012855662013503493
614.097,0.00124778088961001
615.408,0.0015535556368128848
616.719,0.0015891729841577779
618.03,0.0021688641585854117
619.34,0.004712280479611708
620.651,0.0009219371671299237
621.961,0.0029045896203669
623.27,0.003017958004303369
624.58,0.0
625.889,0.0002539789265722996
627.199,0.0
628.507,0.0003891807565108675
629.816,0.0006589294616297333
631.125,0.0
632.433,0.002215777182117137
633.741,0.0024566106721599164
635.049,0.0021077118025097314
636.357,0.001561786100704293
637.664,0.0018636262514904016
638.972,0.002960280545974957
640.279,0.0011832407648120818
641.586,0.0016139891891986228
642.893,0.00252871622085378
644.199,0.0
645.505,0.0011095951480246285
646.811,0.0016741135826296848
648.117,0.00023609751556369194
649.423,0.002292786066197424
650.728,0.0
652.034,6.977901973228568e-05
653.339,0.0015959733248265865
654.644,0.0011058367582180856
655.948,0.0030671833945569472
657.253,0.0
658.557,0.0015212152060805034
659.861,0.0023344222650250185
661.165,0.0007874939302895954
662.468,0.003702071665421874
663.772,0.000575583912312813
665.075,0.001443023170004485
666.378,0.0007618824512810531
667.681,0.0
668.983,0.0025992078142279716
670.286,0.0034977788727676914
671.588,0.0016703898958720124
672.89,0.004248388593217534
674.192,0.0016747212093685135
675.493,0.0030252379749761337
676.795,0.0018691126509398147
678.096,0.0
679.397,0.001353191606468475
680.697,0.0011491415979031155
681.998,0.0
683.298,0.0019635451794583285
684.598,0.0021481040916897396
685.898,0.0
687.198,0.0015611513352418917
688.498,0.0007019762647474699
689.797,0.0013568432252625312
691.096,0.0013512775608311035
692.395,1.588536478954672e-05
693.694,0.0019121584727252768
694.992,0.00025999193546404943
696.29,0.0032693296361455872
697.589,0.0060373300414683535
698.886,0.008764801645338787
700.184,0.009140214320843023
701.482,0.009471366698487626
702.779,0.009688024996318973
704.076,0.01658561255438089
705.373,0.015953427968036633
706.669,0.02595763080300391
707.966,0.04048561963412617
709.262,0.06521727597916126
710.558,0.08210027258664991
711.854,0.07396321228720666
713.15,0.05329288869239403
714.445,0.03361835953677832
715.74,0.021115021693088796
717.035,0.014389957468131912
718.33,0.005926920046572725
719.625,0.005275009405580911
720.919,0.0029827557745409107
722.214,0.004577691299401186
723.508,0.004589825981605705
724.801,0.0011931785380161772
726.095,0.0036669359448659017
727.388,0.0027557971078745434
728.682,0.0009239848568505622
729.975,0.001416100710908991
731.267,0.0
732.56,0.0
733.852,0.0030949565220079705
735.145,0.00017679573831235842
736.437,0.005198077802330846
737.728,0.0008301465807220558
739.02,0.0004631140911806718
740.311,0.004120890811488552
741.603,0.0
742.894,0.0020780169783052136
744.184,0.0
745.475,0.003219186985493962
746.765,0.0016144151327416201
748.055,0.0
749.345,0.0022905896733362396
750.635,0.005798651851207016
751.925,0.002150916744561647
753.214,0.0028717953574059663
754.503,0.0009384696958037535
755.792,0.0003649465246950533
757.081,0.0011593269145360409
758.37,0.0013975575345882639
759.658,0.0010571517872549419
760.946,0.0013030926898995473
762.234,0.0030392633158444803
763.522,0.0008737630103476048
764.809,0.0023901265779470884
766.097,0.0018634748046445944
767.384,0.0013091576436224438
768.671,0.0033952749169510496
769.958,0.0
771.244,0.0008009583153357297
772.53,0.0028386685220680987
773.817,0.0
775.102,0.0007724248960253025
776.388,0.0020773594172518923
777.674,0.0
778.959,0.0020032731303592298
780.244,0.0025143793503218654
781.529,0.002163753597266148
782.814,0.0011728251303275497
784.098,0.0
785.383,0.0010929551978154657
786.667,0.0005066413260276293
787.951,0.0
789.235,0.002743511601575049
790.518,0.0
791.801,0.002487612768294466
793.084,0.0006779685186499556
794.367,0.0005258779126031603
795.65,0.0
796.933,0.0
798.215,0.0008356295579425955
799.497,0.0006178750980379506
800.779,0.0010610462245041294
802.061,0.002926226232349671
803.342,0.001205480641785655
804.624,0.0030155507823432003
805.905,0.0015862002002010828
807.186,0.0011619725024945907
808.466,0.0019373915559368611
809.747,0.0034251411868340405
811.027,0.00019733230983917346
812.307,0.0
813.587,0.0026344834666227014
814.867,0.002028012081101788
816.146,0.0
817.426,0.0030205518270755892
818.705,0.0007527992848189665
819.984,0.0007424478242776915
821.263,0.0010501011782432814
822.541,0.0
823.819,0.00014002828845770515
825.098,0.0015272626764883377
826.375,0.0003847791646641894
827.653,0.001499819505473149
828.931,0.0
830.208,0.0019588372360675945
831.485,0.001822559665838151
832.762,0.0
834.039,0.005305835548763628
835.315,0.0
836.592,0.0
837.868,0.002984179865390901
839.144,0.002834676345918348
840.42,0.003723731030408506
841.695,0.0027742855305428926
842.97,0.0033543722001588452
844.246,0.004178032065159375
845.521,0.0018083736301701134
846.795,0.002662156606452234
848.07,0.0032036811507926166
849.344,0.0013190833122382428
850.618,0.0023783417998010595
851.892,0.0
853.166,0.00030448407307456923
854.44,0.0
855.713,0.0
856.986,0.0
858.259,0.0032242276067230304
859.532,8.149212465316869e-05
860.804,0.00012881181269655745
862.077,0.002384410677414017
863.349,0.0007229710508248382
864.621,0.000533619635014292
865.893,0.0
867.164,0.0016251902872415186
868.436,0.0014334605431310576
869.707,0.0007503404139383346
870.978,6.695121294614337e-05
872.248,0.00011982747972578944
873.519,0.0009097548860365447
874.789,0.0014520359286529253
876.06,0.0005321975191466972
877.33,0.0007622210442153393
878.599,0.0006053088873506472
879.869,0.0008639335699741972
881.138,0.00018872666726255083
882.408,0.0018287085301306042
883.677,0.001401960925899865
884.945,0.0
886.214,0.0
887.482,0.0025795148762740444
888.751,0.0009297549620352572
890.019,0.001981604743300437
891.287,8.925644444704639e-05
892.554,0.0011442748572736727
893.822,0.0
895.089,0.0
896.356,0.0018763880665963837
897.623,0.0024621373937813544
898.889,0.0018217292205222426
900.156,0.002661829526226859
901.422,0.0
902.688,0.0016212269761625238
903.954,0.0
905.22,0.0
906.485,0.0
907.75,0.0026942463491189802
909.015,0.002288825887216738
910.28,0.0023863110145580482
911.545,0.00027021641760035256
912.809,0.0020818898817888103
914.074,0.00045659931983582137
915.338,0.00043885659277621044
916.602,0.0015123290094580036
917.865,0.002093281760093784
919.129,0.0023679659869331555
920.392,0.0002450533593064139
921.655,0.002926199207470417
922.918,0.0017817505023330887
924.181,0.0008810467749199874
925.443,0.002924248365544604
926.706,0.0022649829892437915
927.968,0.002339896396012876
929.23,0.0
930.491,0.0014682300814275184
931.753,0.004481110008358814
933.014,0.0015991855030457447
934.276,0.0
935.536,0.0012165367610045435
936.797,0.0002787001706094901
938.058,0.0
939.318,0.004047757438109824
940.578,0.0028628409465177715
941.838,0.0028946816360155324
943.098,0.0
944.358,0.000981704665515852
945.617,0.0027189952678766272
946.876,0.0002785156843584021
948.135,0.0
949.394,0.0037494438618632755
950.653,0.003508800523673074
951.911,0.0027722497712231397
953.169,0.0025216905443144373
954.427,0.004340562984050757
955.685,0.004080480750712942
956.943,0.0
958.2,0.005197422604165887
959.458,0.0
960.715,0.0009592906244658913
961.971,0.002637627208989263
963.228,0.0030838902245568676
964.485,0.0018071055942577086
965.741,0.0019987758318769744
966.997,0.0015309953269308715
968.253,0.0034632683550351226
