raman_shift_cm-1,intensity
621.257813,14488.600586
623.089844,14741.854492
624.921875,15235.56543
626.751953,15691.261719
628.582031,16261.933594
630.412109,16939.460938
632.242188,17852.402344
634.070313,18560.697266
635.898438,19445.730469
637.726563,19897.580078
639.554688,19818.804688
641.382813,19798.833984
643.208984,19071.191406
645.035156,18730.662109
646.861328,18410.509766
648.6875,17728.59375
650.511719,17295.707031
652.337891,17236.732422
654.162109,17380.589844
655.984375,17813.802734
657.808594,18443.320313
659.630859,19303.572266
661.455078,20475.669922
663.277344,21882.980469
665.097656,22288.921875
666.919922,21771.048828
668.740234,20434.453125
670.560547,19020.306641
672.380859,17547.791016
674.201172,16552.822266
676.019531,15802.058594
677.837891,14983.572266
679.65625,14698.28418
681.474609,14339.957031
683.292969,14296.532227
685.109375,13965.464844
686.925781,13704.442383
688.742188,13554.818359
690.558594,13626.84375
692.373047,13485.393555
694.1875,13449.96582
696.001953,13271.197266
697.816406,13541.711914
699.630859,13466.28418
701.443359,13444.603516
703.255859,13347.044922
705.068359,13339.121094
706.880859,13447.115234
708.691406,13135.52832
710.503906,13438.199219
712.314453,13138.891602
714.125,13175.105469
715.933594,13187.84668
717.744141,13221.321289
719.552734,13171.873047
721.361328,13054.652344
723.169922,13139.285156
724.976563,13066.263672
726.785156,12983.521484
728.591797,13004.533203
730.398438,12874.671875
732.203125,13131.037109
734.009766,13064.84668
735.814453,13163.461914
737.619141,13112.485352
739.423828,13151.563477
741.228516,13014.616211
743.03125,12852.647461
744.833984,13069.199219
746.636719,13148.524414
748.439453,12892.124023
750.242188,13028.34082
752.042969,13193.768555
753.84375,13134.350586
755.644531,13226.274414
757.445313,13248.787109
759.244141,13028.168945
761.042969,13134.025391
762.84375,13146.797852
764.640625,13224.921875
766.439453,13155.669922
768.236328,13130.896484
770.035156,13146.457031
771.832031,13430.608398
773.626953,13259.722656
775.423828,13258.613281
777.21875,13295.101563
779.015625,13221.56543
780.808594,13083.905273
782.603516,13177.510742
784.398438,13098.316406
786.191406,13272.830078
787.984375,13249.399414
789.777344,13159.004883
791.570313,13139.719727
793.361328,13289.280273
795.152344,13293.743164
796.943359,13390.351563
798.734375,13121.130859
800.525391,13342.055664
802.314453,13085.270508
804.103516,13229.427734
805.892578,13275.807617
807.681641,13266.28418
809.470703,13372.822266
811.257813,13251.416992
813.044922,13323.021484
814.832031,13247.725586
816.619141,13350.152344
818.404297,13130.625
820.189453,13270.878906
821.976563,13273.931641
823.759766,13229.352539
825.544922,13141.310547
827.328125,13231.232422
829.113281,13295.959961
830.896484,13254.143555
832.679688,13121.138672
834.460938,13281.27832
836.244141,13240.829102
838.025391,13270.537109
839.806641,13175.313477
841.585938,13028.089844
843.367188,13210.857422
845.146484,13060.761719
846.927734,13178.981445
848.705078,13055.510742
850.484375,13116.142578
852.263672,13241.483398
854.041016,13238.892578
855.818359,13185.65625
857.595703,13153.500977
859.373047,13384.515625
861.148438,13107.441406
862.923828,13339.957031
864.699219,13355.686523
866.474609,13305.212891
868.25,13312.485352
870.023438,13235.199219
871.798828,13348.181641
873.572266,13265.224609
875.34375,13234.411133
877.117188,13272.703125
878.888672,13366.038086
880.662109,13283.004883
882.433594,13325.56543
884.203125,13338.493164
885.974609,13170.657227
887.744141,13254.182617
889.513672,13200.692383
891.283203,13315.350586
893.052734,13421.578125
894.822266,13472.711914
896.589844,13424.875
898.357422,13340.238281
900.125,13371.577148
901.892578,13302.453125
903.658203,13373.428711
905.423828,13212.244141
907.189453,13280.396484
908.955078,13383.990234
910.720703,13435.208984
912.484375,13286.640625
914.25,13458.337891
916.013672,13262.918945
917.777344,13299.97168
919.539063,13508.663086
921.302734,13324.467773
923.064453,13246.615234
924.826172,13495.174805
926.587891,13359.116211
928.347656,13536.8125
930.109375,13451.830078
931.869141,13260.259766
933.628906,13413.894531
935.388672,13274.813477
937.146484,13330.428711
938.90625,13408.818359
940.664063,13386.262695
942.421875,13296.833984
944.179688,13370.99707
945.935547,13245.94043
947.693359,13307.311523
949.449219,13287.547852
951.205078,13445.798828
952.960938,13406.112305
954.714844,13433.374023
956.46875,13373.711914
958.224609,13316.87207
959.978516,13271.412109
961.730469,13335.742188
963.484375,13432.908203
965.236328,13388.867188
966.988281,13444.701172
968.740234,13491.994141
970.492188,13577.857422
972.242188,13612.347656
973.994141,13768.264648
975.744141,13761.37793
977.494141,13764.490234
979.242188,14039.181641
980.992188,13947.996094
982.740234,14045.529297
984.488281,14336.200195
986.236328,14428.139648
987.984375,14454.294922
989.730469,14791.051758
991.478516,14918.943359
993.224609,15015.388672
994.970703,15442.729492
996.714844,15757.087891
998.460938,16176.189453
1000.205078,16436.388672
1001.949219,17069.429688
1003.693359,17893.462891
1005.4375,18574.443359
1007.179688,19406.357422
1008.923828,20429.478516
1010.666016,21224.867188
1012.408203,21173.664063
1014.148438,20624.205078
1015.890625,19399.507813
1017.630859,18238.896484
1019.371094,17001.611328
1021.111328,15962.089844
1022.851563,15291.521484
1024.589844,14895.263672
1026.328125,14268.731445
1028.066406,14187.074219
1029.804688,14044.953125
1031.542969,13895.570313
1033.279297,14022.481445
1035.017578,13756.408203
1036.753906,13737.899414
1038.490234,13679.051758
1040.224609,13699.413086
1041.960938,13535.333984
1043.695313,13505.223633
1045.429688,13403.015625
1047.164063,13403.140625
1048.898438,13460.956055
1050.630859,13283.649414
1052.363281,13071.631836
1054.095703,13026.936523
1055.828125,12992.325195
1057.560547,12902.828125
1059.291016,12969.267578
1061.023438,12897.057617
1062.753906,12728.006836
1064.484375,12823.352539
1066.212891,12817.552734
1067.943359,12947.660156
1069.671875,12691.693359
1071.400391,12719.125977
1073.128906,12737.888672
1074.857422,12771.130859
1076.583984,12710.299805
1078.3125,12510.452148
1080.039063,12658.063477
1081.765625,12694.209961
1083.490234,12588.390625
1085.216797,12702.786133
1086.941406,12598.369141
1088.666016,12675.123047
1090.390625,12575.000977
1092.115234,12717.047852
1093.837891,12497.929688
