Wave,Anorthite
363.617,1989.51
364.121,1990.27
364.623,1991.33
365.126,1992.51
365.63,1994.26
366.134,1995.95
366.637,1998.9
367.139,2002.59
367.642,2005.09
368.146,2006.12
368.65,2003.94
369.151,2000.32
369.654,1994.9
370.158,1987.8
370.659,1979.12
371.163,1969.2
371.666,1958.7
372.169,1957.59
372.671,1955.31
373.174,1961.68
373.677,1972.79
374.178,1970.32
374.681,1963.05
375.185,1950.8
375.686,1948.94
376.189,1949.82
376.692,1954.8
377.193,1962.22
377.696,1967.69
378.199,1971.9
378.7,1974.64
379.203,1975.72
379.704,1975.71
380.206,1974.81
380.709,1973.68
381.21,1972.09
381.713,1970.29
382.214,1969.82
382.716,1970.01
383.219,1971.79
383.72,1973.65
384.222,1974
384.723,1973.06
385.226,1966.92
385.726,1961.56
386.229,1954.38
386.729,1947.45
387.232,1946.88
387.734,1948.15
388.235,1953.21
388.737,1959.47
389.237,1965.9
389.74,1973.08
390.24,1982.31
390.742,1992.23
391.242,2003.39
391.745,2013.7
392.245,2004.19
392.747,1993.98
393.247,1999.14
393.747,2021.87
394.249,2031.88
394.749,2040.22
395.252,2045.15
395.752,2049.41
396.254,2051.37
396.753,2051.79
397.253,2051.39
397.755,2053.26
398.255,2053.08
398.757,2052.62
399.257,2051.97
399.759,2051.13
400.258,2050.1
400.758,2049.35
401.26,2048.48
401.759,2047.6
402.259,2046.89
402.761,2046.3
403.26,2046.03
403.76,2046.4
404.261,2047.72
404.761,2051.66
405.26,2059.09
405.762,2059.19
406.261,2056.5
406.761,2051.46
407.262,2040.71
407.761,2031.76
408.261,2031.01
408.762,2029.73
409.261,2027.95
409.761,2025.05
410.26,2021.45
410.761,2017.47
411.26,2013.47
411.759,2008.97
412.258,2004.04
412.759,2008.54
413.258,2016
413.757,2023.79
414.256,2027.92
414.757,2028.58
415.256,2025.07
415.755,2014.64
416.254,2010.14
416.753,2006.68
417.254,2004.86
417.753,2009.61
418.251,2016.84
418.75,2021.57
419.249,2026.06
419.749,2029.35
420.248,2032.19
420.747,2033.58
421.245,2034.74
421.744,2035.76
422.242,2037.49
422.741,2043.86
423.242,2054.83
423.74,2061.11
424.238,2069.01
424.737,2079.76
425.235,2085.2
425.734,2084.97
426.232,2078.92
426.73,2069.42
427.228,2062.32
427.727,2057.49
428.225,2054.91
428.725,2055.17
429.223,2058.59
429.721,2065.78
430.22,2067.82
430.718,2067.37
431.216,2062.11
431.714,2056.64
432.212,2051.11
432.71,2045.65
433.208,2039.54
433.706,2033.56
434.203,2027.87
434.701,2023.04
435.199,2027.02
435.697,2043.95
436.195,2053.3
436.692,2064.19
437.19,2068.66
437.688,2066.19
438.186,2056.61
438.683,2042.51
439.181,2033.56
439.676,2027.73
440.174,2023.76
440.671,2021
441.169,2019.29
441.666,2018.78
442.164,2019.39
442.661,2020.58
443.159,2021.79
443.656,2019.32
444.154,2007.5
444.651,1997.32
445.146,1988.5
445.643,1981.17
446.141,1975.64
446.638,1971.58
447.135,1980.51
447.632,1991.85
448.129,1996.04
448.624,1996.84
449.121,1991.08
449.618,1981.86
450.116,1974.29
450.613,1969.99
451.107,1967.08
451.604,1967.78
452.101,1970.83
452.598,1975.94
453.095,1981.86
453.59,1990.02
454.087,1996.78
454.583,2001.4
455.08,2003.48
455.575,2000.98
456.072,1998.52
456.568,1995.47
457.065,1992.02
457.559,1988.97
458.056,1986.29
458.553,1983.93
459.049,1982.55
459.544,1982.25
460.04,1983.1
460.537,1984.69
461.031,1986.81
461.527,1989.26
462.024,1991.09
462.518,1991.43
463.014,1984.93
463.511,1974.74
464.005,1965.29
464.501,1965.34
464.997,1965.91
465.492,1975.09
465.988,1978.6
466.484,1983.69
466.978,1985.73
467.474,1983.1
467.968,1988.97
468.464,1994.66
468.96,2004.08
469.454,2013.98
469.95,2021.72
470.444,2027.66
470.94,2031.61
471.436,2033.6
471.929,2035.45
472.425,2040.02
472.919,2045.08
473.415,2050.22
473.908,2055.61
474.404,2062.05
474.898,2068.02
475.393,2072.07
475.887,2074.01
476.383,2074.09
476.876,2073.85
477.372,2078.2
477.865,2087.7
478.361,2101.78
478.854,2120.07
479.35,2142.92
479.843,2169.84
480.338,2201.38
480.832,2231.18
481.327,2229.82
481.82,2227.38
482.316,2226.9
482.809,2229.24
483.304,2232.86
483.797,2248.5
484.29,2262.54
484.785,2273.57
485.279,2276.47
485.774,2267.61
486.267,2251.22
486.76,2226.3
487.255,2198.91
487.748,2173.52
488.243,2157.14
488.735,2151.11
489.228,2157.09
489.723,2164.87
490.216,2172.48
490.709,2170.25
491.204,2170.57
491.696,2163.15
492.189,2157.48
492.684,2163.21
493.176,2176.1
493.669,2191.95
494.164,2210.37
494.656,2232.99
495.149,2258.33
495.641,2285.1
496.136,2314.24
496.628,2346.04
497.121,2381.22
497.615,2417.7
498.108,2453.6
498.6,2484.75
499.092,2510.99
499.587,2536.12
500.079,2557.69
500.571,2576.38
501.063,2591.76
501.556,2603.45
502.05,2610.57
502.542,2605.46
503.034,2588.85
503.526,2560.94
504.018,2525.92
504.512,2492.72
505.004,2456.95
505.496,2418.71
505.988,2382.53
506.48,2345.28
506.972,2320.61
507.466,2302.17
507.958,2284.17
508.45,2270.29
508.942,2258.59
509.433,2249.22
509.925,2244.02
510.417,2236.82
510.909,2225.19
511.402,2215.19
511.894,2205.53
512.386,2193.07
512.877,2185.99
513.369,2183.99
513.86,2179.39
514.352,2174.98
514.843,2167.31
515.335,2158.68
515.826,2143.19
516.318,2137.62
516.809,2132.87
517.3,2130.96
517.792,2130.45
518.283,2132.03
518.774,2134.52
519.265,2137.88
519.757,2141.42
520.248,2144.56
520.739,2148.04
521.23,2151.76
521.721,2155.44
522.212,2158.99
522.703,2161.9
523.194,2161.18
523.685,2155.14
524.176,2148.54
524.667,2140.01
525.158,2127.97
525.649,2115.93
526.14,2105.41
526.631,2094.36
527.122,2083.67
527.613,2075.07
528.103,2067.73
528.592,2061.66
529.083,2057.04
529.574,2053.95
530.064,2052.06
530.555,2051.57
531.045,2051.24
531.536,2047.11
532.027,2039.24
532.515,2029.5
533.006,2017.88
533.496,2007.42
533.987,2007.23
534.477,2010.26
534.967,2014.33
535.456,2018.53
535.946,2020.24
536.436,2024.04
536.927,2027.05
537.417,2029.65
537.905,2030.08
538.395,2023.33
538.886,2012.21
539.376,1998.97
539.864,1991.28
540.354,1985.77
540.844,1982.24
541.334,1980.82
541.822,1981.71
542.312,1985.26
542.802,1990.53
543.292,1996.89
543.78,2002.38
544.27,2007.79
544.76,2013.65
545.248,2019.38
545.737,2025.29
546.227,2030.73
546.715,2036.21
547.205,2041.64
547.695,2047.4
548.182,2053.92
548.672,2061
549.161,2068.8
549.649,2076.96
550.139,2085.17
550.628,2093.68
551.116,2093.53
551.605,2088.02
552.095,2084.18
552.582,2087.12
553.072,2087.9
553.559,2091.14
554.048,2094.32
554.538,2097.45
555.025,2100.44
555.514,2103.64
556.002,2106.53
556.491,2105.64
556.978,2101.64
557.467,2091.2
557.954,2086.72
558.443,2084.3
558.933,2083.86
559.42,2085.02
559.909,2085.7
560.396,2087.35
560.885,2089.49
561.372,2092.08
561.861,2095.05
562.348,2096.98
562.836,2092.71
563.323,2065.87
563.812,2062.67
564.299,2062.2
564.788,2062.57
565.275,2065.13
565.761,2063.3
566.25,2058.21
566.737,2051.64
567.225,2039.84
567.712,2032.08
568.201,2032.34
568.687,2028.65
569.174,2023.13
569.662,2013.35
570.149,2005.6
570.637,1990.09
571.124,1980.52
571.61,1974.75
572.099,1971.59
572.585,1970.88
573.071,1971.03
573.56,1971.92
574.046,1969.76
574.534,1968.3
575.02,1968.39
575.507,1968.83
575.993,1970.62
576.481,1973.66
576.967,1976.75
577.453,1980.83
577.941,1987.57
578.427,1991.97
578.913,1989.52
579.401,1981.14
579.887,1974.43
580.373,1968.22
580.859,1965.05
581.347,1964.39
581.833,1965.98
582.319,1969.47
582.805,1973.36
583.292,1977.04
583.778,1977.33
584.264,1976.22
584.75,1975
585.237,1973.47
585.723,1972.55
586.209,1972.11
586.694,1972.1
587.18,1972.2
587.667,1971.8
588.153,1969.94
588.638,1968.09
589.124,1965.81
589.609,1964.62
590.095,1965.35
590.582,1965.27
591.068,1967.27
591.553,1970
592.038,1972.59
592.523,1974.04
593.009,1966.1
593.494,1957.94
593.979,1958.6
594.464,1964.34
594.952,1978.93
595.437,1992.21
595.922,1999.52
596.407,1995.11
596.892,1992.76
597.377,1980.91
597.862,1969.99
598.347,1970.51
598.832,1971.35
599.317,1973.22
599.802,1975.18
600.287,1976.58
600.772,1977.45
601.256,1977.91
601.741,1978.33
602.226,1978.69
602.711,1977.08
603.195,1976.48
603.68,1977.14
604.165,1981.73
604.65,1984.25
605.134,1983.34
605.619,1980.53
606.103,1973.92
606.588,1964.66
607.072,1957.71
607.557,1957.31
608.041,1960.89
608.526,1965.15
609.01,1971.56
609.495,1977
